"Hour","Internal_hnum","Outside_hnum","HTotal"
"01시",0,0,0
"02시",0,0,0
"03시",0,0,0
"04시",0,0,0
"05시",0,0,0
"06시",131,818,949
"07시",116516,2806,119322
"08시",162618,44049,206667
"09시",171991,70917,242908
"10시",179878,49903,229781
"11시",161406,45733,207139
"12시",174041,39342,213383
"13시",139175,50211,189386
"14시",177206,21540,198746
"15시",156345,29169,185514
"16시",184123,24289,208412
"17시",152938,33481,186419
"18시",178935,11202,190137
"19시",152544,28116,180660
"20시",181754,37071,218825
"21시",121916,39287,161203
"22시",73022,50697,123719
"23시",930,92144,93074
"24시",0,5193,5193
